Row,Label,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26
16,TSEManf,-0.15,-0.14,-0.15,-0.16,-0.16,-0.16,-0.16,-0.17,-0.17,-0.17,-0.17,-0.17,-0.18,-0.18,-0.18,-0.19,-0.18,-0.18,-0.18,-0.18,-0.19,-0.18,-0.19,-0.18,-0.18,-0.18
17,TSEWhol,-0.12,-0.12,-0.14,-0.14,-0.14,-0.14,-0.15,-0.16,-0.15,-0.15,-0.16,-0.16,-0.16,-0.17,-0.17,-0.17,-0.16,-0.17,-0.17,-0.17,-0.18,-0.17,-0.18,-0.17,-0.17,-0.17
18,TSEReta,-0.15,-0.16,-0.16,-0.16,-0.16,-0.18,-0.17,-0.18,-0.18,-0.18,-0.18,-0.19,-0.18,-0.19,-0.19,-0.19,-0.19,-0.19,-0.19,-0.2,-0.19,-0.2,-0.2,-0.19,-0.19,-0.2
19,TSETran,-0.21,-0.21,-0.21,-0.21,-0.21,-0.22,-0.21,-0.21,-0.22,-0.22,-0.21,-0.21,-0.22,-0.21,-0.22,-0.22,-0.22,-0.21,-0.22,-0.21,-0.22,-0.21,-0.22,-0.22,-0.21,-0.21
20,TSEInfo,-0.13,-0.15,-0.14,-0.16,-0.14,-0.16,-0.15,-0.17,-0.16,-0.17,-0.17,-0.17,-0.19,-0.17,-0.17,-0.18,-0.18,-0.18,-0.18,-0.18,-0.19,-0.18,-0.17,-0.17,-0.18,-0.18
21,TSEFina,-0.13,-0.14,-0.13,-0.13,-0.15,-0.15,-0.14,-0.15,-0.15,-0.15,-0.15,-0.15,-0.16,-0.15,-0.15,-0.17,-0.16,-0.16,-0.17,-0.16,-0.16,-0.17,-0.16,-0.17,-0.17,-0.17
22,TSEReal,-0.17,-0.18,-0.18,-0.19,-0.2,-0.19,-0.2,-0.2,-0.2,-0.21,-0.21,-0.21,-0.21,-0.21,-0.22,-0.21,-0.22,-0.22,-0.22,-0.23,-0.22,-0.22,-0.23,-0.23,-0.23,-0.23
23,TSEProf,-0.11,-0.13,-0.14,-0.15,-0.16,-0.17,-0.17,-0.18,-0.18,-0.18,-0.19,-0.19,-0.19,-0.19,-0.2,-0.2,-0.2,-0.2,-0.2,-0.21,-0.21,-0.21,-0.21,-0.2,-0.21,-0.2
24,TSEAdmi,-0.18,-0.2,-0.18,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.19,-0.19,-0.19,-0.19
25,TSEHcare,-0.06,-0.08,-0.09,-0.09,-0.09,-0.11,-0.13,-0.13,-0.14,-0.15,-0.16,-0.16,-0.17,-0.17,-0.17,-0.17,-0.18,-0.17,-0.18,-0.18,-0.18,-0.18,-0.18,-0.18,-0.18,-0.18
26,TSEArts,-0.16,-0.18,-0.18,-0.19,-0.18,-0.19,-0.2,-0.2,-0.2,-0.2,-0.21,-0.2,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,-0.2,-0.2,-0.21,-0.21,-0.2
27,TSEAcco,-0.16,-0.17,-0.17,-0.16,-0.17,-0.18,-0.18,-0.18,-0.18,-0.18,-0.18,-0.17,-0.18,-0.18,-0.18,-0.18,-0.18,-0.18,-0.18,-0.18,-0.18,-0.18,-0.18,-0.17,-0.19,-0.18
28,TSEOserv,-0.17,-0.18,-0.17,-0.18,-0.18,-0.19,-0.19,-0.19,-0.19,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.21,-0.2,-0.2,-0.2,-0.2
29,PSE,-0.19,-0.2,-0.21,-0.21,-0.21,-0.22,-0.22,-0.22,-0.23,-0.23,-0.23,-0.23,-0.23,-0.23,-0.23,-0.23,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24
30,PSEMen,-0.19,-0.2,-0.21,-0.21,-0.21,-0.22,-0.22,-0.22,-0.23,-0.23,-0.23,-0.23,-0.23,-0.23,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24
31,PSEWomen,-0.19,-0.19,-0.2,-0.2,-0.2,-0.2,-0.21,-0.21,-0.21,-0.22,-0.22,-0.21,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-0.23,-0.22,-0.23,-0.23,-0.23,-0.23,-0.23,-0.23
32,PSEMarr,-0.19,-0.2,-0.21,-0.21,-0.21,-0.22,-0.22,-0.22,-0.23,-0.23,-0.23,-0.23,-0.23,-0.23,-0.23,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24
33,PSENMarr,-0.19,-0.2,-0.2,-0.21,-0.21,-0.21,-0.22,-0.22,-0.22,-0.23,-0.22,-0.22,-0.23,-0.22,-0.23,-0.23,-0.23,-0.23,-0.23,-0.23,-0.23,-0.23,-0.23,-0.23,-0.23,-0.23
34,PSEColl,-0.18,-0.18,-0.19,-0.19,-0.2,-0.21,-0.21,-0.21,-0.21,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-0.23,-0.23,-0.23,-0.23,-0.23,-0.23,-0.23,-0.23,-0.23,-0.23
35,PSENColl,-0.23,-0.24,-0.24,-0.24,-0.24,-0.24,-0.25,-0.24,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.26,-0.25,-0.26,-0.26,-0.26,-0.26,-0.26,-0.26,-0.26,-0.26
36,PSECogn,-0.2,-0.21,-0.22,-0.21,-0.21,-0.22,-0.23,-0.23,-0.24,-0.23,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.25
37,PSENCogn,-0.19,-0.19,-0.19,-0.2,-0.2,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,-0.22,-0.22,-0.21,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-0.23,-0.23,-0.23,-0.23,-0.23,-0.23
38,PSEInte,-0.17,-0.18,-0.19,-0.19,-0.19,-0.2,-0.21,-0.21,-0.21,-0.21,-0.22,-0.22,-0.22,-0.22,-0.22,-0.23,-0.23,-0.23,-0.23,-0.23,-0.23,-0.23,-0.23,-0.23,-0.23,-0.23
39,PSENInte,-0.23,-0.23,-0.24,-0.23,-0.24,-0.24,-0.24,-0.24,-0.25,-0.24,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.26,-0.26,-0.26,-0.26,-0.25
40,PSEManu,-0.22,-0.23,-0.24,-0.24,-0.24,-0.24,-0.25,-0.25,-0.26,-0.25,-0.25,-0.25,-0.26,-0.26,-0.26,-0.26,-0.26,-0.26,-0.26,-0.26,-0.26,-0.26,-0.26,-0.26,-0.26,-0.26
41,PSENManu,-0.17,-0.18,-0.19,-0.19,-0.19,-0.2,-0.2,-0.21,-0.21,-0.21,-0.21,-0.21,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-0.23,-0.22,-0.23,-0.22,-0.23,-0.23
42,PSEAgri,-0.28,-0.26,-0.28,-0.27,-0.26,-0.28,-0.29,-0.28,-0.29,-0.29,-0.29,-0.3,-0.28,-0.3,-0.29,-0.29,-0.3,-0.31,-0.29,-0.31,-0.3,-0.3,-0.29,-0.29,-0.3,-0.31
43,PSECons,-0.25,-0.26,-0.26,-0.26,-0.26,-0.26,-0.28,-0.27,-0.27,-0.27,-0.28,-0.28,-0.27,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.29,-0.29,-0.29,-0.29,-0.28,-0.29
44,PSEManf,-0.2,-0.17,-0.19,-0.22,-0.21,-0.22,-0.21,-0.22,-0.22,-0.22,-0.23,-0.21,-0.23,-0.23,-0.22,-0.24,-0.23,-0.23,-0.24,-0.23,-0.23,-0.23,-0.23,-0.23,-0.22,-0.23
45,PSEWhol,-0.15,-0.13,-0.18,-0.18,-0.17,-0.17,-0.18,-0.19,-0.19,-0.18,-0.2,-0.2,-0.2,-0.2,-0.21,-0.19,-0.2,-0.2,-0.2,-0.2,-0.21,-0.19,-0.21,-0.19,-0.2,-0.2
46,PSEReta,-0.19,-0.19,-0.2,-0.2,-0.2,-0.22,-0.21,-0.21,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-0.23,-0.22,-0.22,-0.23,-0.22,-0.23,-0.23,-0.23,-0.23,-0.23,-0.23,-0.23
47,PSETran,-0.24,-0.23,-0.24,-0.24,-0.25,-0.25,-0.24,-0.24,-0.25,-0.25,-0.24,-0.24,-0.25,-0.25,-0.24,-0.25,-0.25,-0.25,-0.25,-0.24,-0.25,-0.24,-0.25,-0.25,-0.25,-0.25
48,PSEInfo,-0.11,-0.16,-0.15,-0.2,-0.19,-0.19,-0.17,-0.22,-0.21,-0.21,-0.2,-0.21,-0.24,-0.21,-0.21,-0.22,-0.23,-0.2,-0.22,-0.23,-0.23,-0.22,-0.22,-0.23,-0.22,-0.23
49,PSEFina,-0.16,-0.16,-0.16,-0.15,-0.18,-0.16,-0.16,-0.17,-0.17,-0.16,-0.17,-0.17,-0.17,-0.17,-0.18,-0.18,-0.18,-0.17,-0.18,-0.18,-0.18,-0.18,-0.18,-0.18,-0.19,-0.19
50,PSEReal,-0.2,-0.2,-0.21,-0.2,-0.21,-0.22,-0.22,-0.22,-0.23,-0.23,-0.23,-0.24,-0.23,-0.23,-0.24,-0.23,-0.24,-0.24,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.26
51,PSEProf,-0.17,-0.18,-0.2,-0.2,-0.2,-0.21,-0.21,-0.22,-0.22,-0.22,-0.23,-0.22,-0.23,-0.23,-0.23,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24
52,PSEAdmi,-0.2,-0.22,-0.21,-0.22,-0.23,-0.22,-0.23,-0.23,-0.23,-0.22,-0.22,-0.23,-0.23,-0.23,-0.22,-0.22,-0.23,-0.23,-0.22,-0.22,-0.23,-0.23,-0.23,-0.22,-0.23,-0.23
53,PSEHcare,-0.1,-0.11,-0.13,-0.13,-0.13,-0.14,-0.15,-0.16,-0.17,-0.18,-0.18,-0.18,-0.19,-0.19,-0.19,-0.19,-0.2,-0.19,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
54,PSEArts,-0.18,-0.2,-0.2,-0.22,-0.21,-0.22,-0.23,-0.24,-0.23,-0.23,-0.23,-0.23,-0.22,-0.24,-0.24,-0.23,-0.24,-0.23,-0.24,-0.23,-0.24,-0.23,-0.24,-0.24,-0.25,-0.24
55,PSEAcco,-0.18,-0.19,-0.19,-0.19,-0.18,-0.19,-0.19,-0.2,-0.21,-0.19,-0.19,-0.19,-0.2,-0.2,-0.2,-0.21,-0.2,-0.21,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.21,-0.21
56,PSEOserv,-0.19,-0.21,-0.2,-0.2,-0.21,-0.22,-0.22,-0.22,-0.22,-0.22,-0.23,-0.22,-0.23,-0.22,-0.22,-0.23,-0.23,-0.23,-0.23,-0.23,-0.23,-0.23,-0.23,-0.23,-0.23,-0.23
57,MSW,-0.13,-0.14,-0.15,-0.15,-0.15,-0.16,-0.16,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.18,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.16,-0.16
58,MSWMen,-0.13,-0.14,-0.14,-0.14,-0.15,-0.16,-0.16,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.18,-0.17,-0.18,-0.17,-0.18,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.16
59,MSWWomen,-0.14,-0.16,-0.16,-0.16,-0.16,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.16,-0.17,-0.17,-0.16,-0.17,-0.16,-0.16,-0.16,-0.16
60,MSWMarr,-0.12,-0.13,-0.13,-0.14,-0.14,-0.15,-0.16,-0.16,-0.16,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.18,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17
61,MSWNMarr,-0.16,-0.17,-0.17,-0.17,-0.17,-0.18,-0.18,-0.18,-0.18,-0.18,-0.18,-0.18,-0.18,-0.17,-0.17,-0.18,-0.17,-0.17,-0.17,-0.17,-0.17,-0.16,-0.16,-0.16,-0.16,-0.16
62,MSWColl,-0.11,-0.12,-0.13,-0.13,-0.13,-0.14,-0.15,-0.15,-0.15,-0.16,-0.16,-0.16,-0.16,-0.17,-0.16,-0.17,-0.17,-0.17,-0.17,-0.17,-0.16,-0.17,-0.17,-0.16,-0.16,-0.16
63,MSWNColl,-0.19,-0.19,-0.19,-0.2,-0.19,-0.2,-0.2,-0.2,-0.2,-0.19,-0.19,-0.19,-0.19,-0.19,-0.19,-0.19,-0.18,-0.19,-0.19,-0.19,-0.18,-0.18,-0.18,-0.18,-0.17,-0.17
64,MSWCogn,-0.13,-0.14,-0.14,-0.14,-0.15,-0.16,-0.16,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.18,-0.17,-0.18,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.16
65,MSWNCogn,-0.14,-0.15,-0.15,-0.16,-0.16,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.16,-0.16,-0.16
66,MSWInte,-0.11,-0.12,-0.13,-0.13,-0.13,-0.14,-0.15,-0.15,-0.15,-0.16,-0.16,-0.16,-0.17,-0.17,-0.16,-0.17,-0.17,-0.17,-0.16,-0.17,-0.16,-0.17,-0.17,-0.16,-0.16,-0.16
67,MSWNInte,-0.18,-0.19,-0.18,-0.19,-0.19,-0.19,-0.2,-0.19,-0.2,-0.19,-0.19,-0.19,-0.19,-0.19,-0.19,-0.19,-0.18,-0.18,-0.19,-0.18,-0.18,-0.18,-0.18,-0.18,-0.17,-0.17
68,MSWManu,-0.17,-0.18,-0.18,-0.19,-0.19,-0.19,-0.19,-0.19,-0.19,-0.19,-0.19,-0.19,-0.19,-0.19,-0.19,-0.19,-0.19,-0.19,-0.19,-0.19,-0.18,-0.18,-0.18,-0.18,-0.17,-0.17
69,MSWNManu,-0.11,-0.12,-0.13,-0.13,-0.13,-0.14,-0.15,-0.15,-0.15,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.17,-0.17,-0.16,-0.16,-0.17,-0.16,-0.17,-0.17,-0.16,-0.16,-0.16
70,MSWAgri,-0.18,-0.21,-0.19,-0.2,-0.19,-0.2,-0.21,-0.21,-0.24,-0.2,-0.22,-0.21,-0.22,-0.22,-0.21,-0.22,-0.21,-0.23,-0.21,-0.22,-0.23,-0.22,-0.23,-0.21,-0.22,-0.2
71,MSWCons,-0.18,-0.19,-0.19,-0.2,-0.2,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,-0.22,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,-0.2
72,MSWManf,-0.15,-0.13,-0.14,-0.15,-0.15,-0.14,-0.14,-0.15,-0.16,-0.15,-0.15,-0.16,-0.16,-0.16,-0.15,-0.16,-0.15,-0.16,-0.15,-0.16,-0.16,-0.15,-0.16,-0.15,-0.15,-0.15
73,MSWWhol,-0.12,-0.13,-0.12,-0.12,-0.13,-0.14,-0.13,-0.15,-0.14,-0.14,-0.14,-0.14,-0.14,-0.15,-0.14,-0.15,-0.14,-0.15,-0.14,-0.15,-0.15,-0.15,-0.15,-0.14,-0.14,-0.14
74,MSWReta,-0.14,-0.15,-0.15,-0.15,-0.15,-0.16,-0.16,-0.16,-0.17,-0.16,-0.16,-0.16,-0.16,-0.16,-0.17,-0.16,-0.16,-0.17,-0.16,-0.17,-0.16,-0.16,-0.16,-0.16,-0.15,-0.16
75,MSWTran,-0.2,-0.2,-0.19,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.19,-0.19,-0.19,-0.19,-0.2,-0.2,-0.2,-0.19,-0.19,-0.18,-0.19,-0.19,-0.19,-0.19,-0.18,-0.18
76,MSWInfo,-0.14,-0.14,-0.14,-0.14,-0.13,-0.15,-0.15,-0.15,-0.14,-0.15,-0.15,-0.16,-0.17,-0.15,-0.15,-0.15,-0.15,-0.16,-0.16,-0.15,-0.15,-0.15,-0.14,-0.14,-0.16,-0.15
77,MSWFina,-0.12,-0.13,-0.12,-0.12,-0.13,-0.14,-0.14,-0.15,-0.14,-0.15,-0.14,-0.15,-0.15,-0.14,-0.13,-0.16,-0.14,-0.14,-0.15,-0.15,-0.14,-0.15,-0.15,-0.15,-0.15,-0.15
78,MSWReal,-0.15,-0.16,-0.17,-0.18,-0.19,-0.18,-0.19,-0.19,-0.18,-0.19,-0.19,-0.19,-0.19,-0.19,-0.19,-0.19,-0.19,-0.19,-0.19,-0.2,-0.18,-0.19,-0.19,-0.2,-0.19,-0.19
79,MSWProf,-0.1,-0.12,-0.12,-0.13,-0.14,-0.15,-0.15,-0.16,-0.16,-0.16,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.16,-0.17,-0.16
80,MSWAdmi,-0.17,-0.19,-0.17,-0.19,-0.19,-0.19,-0.19,-0.19,-0.19,-0.18,-0.18,-0.18,-0.18,-0.18,-0.18,-0.18,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.16,-0.17,-0.16,-0.15
81,MSWHcare,-0.05,-0.07,-0.08,-0.07,-0.08,-0.09,-0.12,-0.11,-0.13,-0.14,-0.15,-0.15,-0.15,-0.15,-0.16,-0.15,-0.16,-0.15,-0.16,-0.16,-0.16,-0.15,-0.15,-0.16,-0.15,-0.15
82,MSWArts,-0.15,-0.17,-0.17,-0.18,-0.17,-0.17,-0.18,-0.18,-0.18,-0.17,-0.19,-0.18,-0.19,-0.19,-0.18,-0.19,-0.18,-0.19,-0.18,-0.17,-0.17,-0.17,-0.16,-0.18,-0.16,-0.16
83,MSWAcco,-0.15,-0.17,-0.16,-0.15,-0.17,-0.17,-0.18,-0.17,-0.17,-0.17,-0.17,-0.16,-0.17,-0.17,-0.16,-0.16,-0.16,-0.16,-0.17,-0.16,-0.16,-0.16,-0.16,-0.15,-0.17,-0.16
84,MSWOserv,-0.15,-0.16,-0.16,-0.17,-0.17,-0.18,-0.17,-0.17,-0.17,-0.18,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.16,-0.16,-0.16
85,NSE,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.1,-0.1,-0.1,-0.1,-0.1,-0.09
86,PPE,-0.12,-0.12,-0.12,-0.12,-0.12,-0.13,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.11,-0.11,-0.11,-0.11
87,PPEMen,-0.12,-0.12,-0.12,-0.12,-0.12,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.13,-0.13,-0.13
88,PPEWomen,-0.11,-0.12,-0.12,-0.12,-0.12,-0.12,-0.11,-0.11,-0.1,-0.1,-0.1,-0.1,-0.1,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,-0.08
89,PPEMarr,-0.11,-0.11,-0.11,-0.11,-0.11,-0.12,-0.12,-0.12,-0.12,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.12,-0.12,-0.11,-0.11,-0.11,-0.11,-0.11,-0.1
90,PPENMarr,-0.14,-0.13,-0.13,-0.13,-0.13,-0.14,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.11,-0.11
91,PPEColl,-0.1,-0.1,-0.1,-0.11,-0.11,-0.12,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.1
92,PPENColl,-0.16,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.14,-0.14,-0.14,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.12,-0.12,-0.12,-0.12,-0.12,-0.11
93,PPECogn,-0.12,-0.12,-0.12,-0.12,-0.12,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.12,-0.12
94,PPENCogn,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.11,-0.11,-0.11,-0.11,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.09,-0.09
95,PPEInte,-0.1,-0.1,-0.11,-0.11,-0.11,-0.12,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.1,-0.1,-0.1
96,PPENInte,-0.15,-0.15,-0.15,-0.15,-0.14,-0.15,-0.15,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.12
97,PPEManu,-0.15,-0.15,-0.15,-0.15,-0.14,-0.15,-0.15,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.13,-0.13,-0.13,-0.12
98,PPENManu,-0.1,-0.1,-0.1,-0.11,-0.11,-0.12,-0.11,-0.11,-0.11,-0.11,-0.11,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.09
99,PPEAgri,-0.16,-0.15,-0.15,-0.16,-0.16,-0.16,-0.17,-0.16,-0.16,-0.16,-0.15,-0.16,-0.16,-0.15,-0.16,-0.16,-0.16,-0.15,-0.16,-0.15,-0.16,-0.15,-0.15,-0.15,-0.15,-0.14
100,PPECons,-0.17,-0.17,-0.16,-0.16,-0.15,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.16,-0.17,-0.17,-0.16,-0.16,-0.15
